Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Notes
1,60,Yes,8,3,34,excellent
9,93,No,7,5,92,review
6,49,No,6,0,39,excellent
7,63,No,5,6,56,excellent
7,79,No,5,0,69,review
3,86,Yes,5,9,69,review
2,60,Yes,6,8,40,excellent
9,64,Yes,7,9,63,excellent
8,91,No,5,8,86,review
,99,No,4,8,89,review
,96,Yes,4,3,94,review
4,98,Yes,4,1,79,excellent
4,62,No,8,6,44,review
1,61,No,8,3,33,review
8,43,No,6,4,36,excellent
3,73,Yes,5,0,50,excellent
7,95,No,8,9,94,review
2,45,Yes,4,5,22,excellent
2,67,No,8,6,44,excellent
7,70,Yes,4,2,60,excellent
6,74,No,5,9,64,review
3,78,Yes,,1,58,excellent
9,81,Yes,7,9,78,review
6,62,Yes,7,6,51,review
6,45,No,4,0,30,review
1,55,Yes,8,1,29,excellent
4,41,Yes,8,2,22,excellent
6,63,No,4,3,51,excellent
6,56,Yes,5,4,45,review
5,84,Yes,4,3,70,excellent
,40,No,5,9,10,excellent
8,45,Yes,6,2,38,review
,44,No,6,0,30,excellent
,96,Yes,4,6,82,review
7,84,No,6,9,74,excellent
4,99,Yes,8,5,87,review
6,94,Yes,5,1,77,excellent
,89,Yes,7,1,72,excellent
3,68,No,7,2,51,excellent
7,51,Yes,6,7,40,review
8,78,Yes,5,7,72,review
4,86,No,8,9,68,review
2,42,No,7,9,22,excellent
3,87,No,8,9,67,excellent
1,40,Yes,8,9,18,review
,66,Yes,7,7,64,review
3,87,Yes,7,6,66,excellent
7,63,No,6,1,50,excellent
5,83,No,5,0,68,review
5,58,Yes,4,5,44,review
7,98,Yes,5,7,90,review
9,47,No,4,0,41,excellent
,94,No,7,2,83,excellent
1,83,No,8,0,57,excellent
,86,Yes,5,9,64,review
2,41,No,8,8,18,excellent
6,69,No,5,6,62,review
9,69,No,9,7,66,review
8,88,No,5,8,85,excellent
5,78,Yes,8,2,62,review
1,84,No,9,9,62,review
7,71,Yes,6,1,62,excellent
5,40,Yes,,5,26,review
6,77,No,6,4,66,excellent
7,52,No,6,3,43,excellent
3,50,Yes,5,5,30,excellent
3,49,No,7,5,25,review
,87,Yes,9,2,77,review
6,98,No,5,1,88,review
,65,Yes,4,8,62,review
,95,Yes,5,7,82,excellent
1,94,Yes,9,3,73,review
,59,No,8,5,44,review
5,56,Yes,5,2,40,excellent
5,56,Yes,4,7,39,excellent
,43,No,5,2,34,excellent
4,44,No,9,1,27,review
1,99,Yes,4,6,73,excellent
5,62,Yes,7,2,46,excellent
7,85,No,9,8,78,review
6,91,Yes,5,2,80,review
5,49,No,4,7,33,review
4,85,No,9,1,68,excellent
2,67,No,7,8,45,review
4,72,Yes,8,0,56,excellent
3,82,No,6,2,58,excellent
1,65,Yes,4,1,37,excellent
8,94,Yes,8,6,88,review
5,89,No,7,4,75,review
4,87,No,8,7,70,review
8,68,No,5,1,62,review
7,66,No,6,7,57,excellent
2,57,Yes,4,6,32,review
1,79,Yes,9,4,53,review
4,99,No,7,1,82,review
8,49,Yes,6,9,41,review
2,97,No,7,6,75,excellent
3,81,Yes,8,9,63,excellent
1,44,Yes,7,3,17,excellent
1,49,Yes,7,3,24,review
3,89,No,8,7,69,excellent
5,60,Yes,8,5,47,excellent
3,63,Yes,6,8,43,review
1,77,Yes,4,1,48,review
1,42,Yes,8,4,17,excellent
,79,No,6,5,75,excellent
2,70,Yes,7,7,54,excellent
,80,No,7,3,59,review
2,76,No,9,6,56,review
3,41,Yes,5,6,20,excellent
7,41,Yes,8,3,34,excellent
1,78,No,6,0,54,excellent
8,88,No,9,2,83,excellent
2,81,No,6,1,59,review
3,83,Yes,4,2,63,excellent
9,73,Yes,9,4,72,excellent
7,81,No,6,0,70,excellent
4,59,No,8,4,41,review
5,72,No,6,1,54,review
2,43,Yes,5,3,21,excellent
,84,Yes,7,5,83,excellent
4,83,No,7,8,64,excellent
,50,Yes,9,9,51,excellent
5,81,No,6,5,66,excellent
9,86,Yes,6,9,83,excellent
4,44,No,6,1,26,review
5,64,Yes,6,7,49,review
9,88,Yes,5,4,85,review
8,99,Yes,8,8,95,excellent
3,76,Yes,5,9,56,review
1,73,Yes,5,8,50,review
3,48,Yes,5,3,23,excellent
,45,Yes,7,0,26,excellent
2,57,No,5,8,30,excellent
,53,No,6,8,28,review
7,58,No,5,7,48,excellent
8,53,Yes,6,4,46,review
,79,Yes,9,4,73,review
,56,Yes,8,9,45,review
1,99,No,7,5,76,review
7,74,No,8,0,71,review
7,68,No,9,8,60,excellent
9,81,No,8,4,77,review
3,56,No,7,6,36,excellent
9,98,No,6,7,96,review
1,82,Yes,9,4,62,review
1,47,No,9,2,22,excellent
,40,Yes,6,5,21,excellent
9,84,No,6,6,79,excellent
6,92,No,7,3,82,excellent
3,75,Yes,5,8,55,excellent
1,46,Yes,4,3,22,excellent
4,85,Yes,5,9,70,excellent
9,44,No,5,1,37,excellent
,63,No,8,8,42,review
9,67,Yes,4,3,64,excellent
,82,No,,3,72,review
4,56,Yes,5,9,42,review
3,76,No,7,0,56,excellent
5,59,No,5,1,43,review
5,42,No,6,2,24,review
3,76,Yes,5,6,55,review
9,65,No,9,8,64,excellent
4,54,Yes,8,4,34,review
5,90,Yes,8,3,78,review
4,87,Yes,5,1,71,excellent
5,47,Yes,8,6,33,review
7,52,Yes,7,5,46,review
,87,Yes,4,6,86,review
7,42,Yes,5,7,34,review
,40,Yes,7,8,26,review
7,48,Yes,9,9,44,review
5,70,No,7,4,53,review
3,80,Yes,7,4,61,excellent
,93,No,9,3,84,excellent
2,65,Yes,6,2,40,excellent
9,56,No,5,6,53,review
1,95,No,5,4,67,review
6,73,No,5,6,58,excellent
7,48,No,4,1,41,review
8,95,No,7,8,89,excellent
9,90,No,5,8,85,review
2,52,Yes,,8,33,excellent
2,44,Yes,6,4,20,review
,80,Yes,,9,66,review
5,52,Yes,9,8,38,excellent
6,40,Yes,4,0,25,excellent
3,64,Yes,9,1,43,review
8,86,No,6,9,79,excellent
1,43,Yes,,4,16,review
6,75,No,9,4,67,review
4,91,No,9,5,80,excellent
1,49,No,8,7,26,excellent
7,67,No,7,0,57,excellent
9,96,No,5,9,91,review
,45,No,6,8,29,review
4,66,Yes,9,3,48,excellent
6,95,No,,7,84,review
3,51,No,,4,33,review
6,91,Yes,,0,82,review
7,87,Yes,8,8,81,review
3,42,Yes,4,7,24,review
7,85,Yes,9,4,81,review
3,72,Yes,8,3,54,excellent
2,49,Yes,5,7,25,excellent
4,70,Yes,6,8,53,review
8,54,No,6,6,48,review
9,46,Yes,7,3,40,review
7,75,No,8,6,66,review
1,53,Yes,8,5,29,excellent
3,95,Yes,4,2,73,excellent
9,87,No,8,9,89,excellent
,53,Yes,6,2,27,excellent
,42,Yes,8,0,40,review
8,88,Yes,7,4,83,review
1,92,Yes,7,7,69,excellent
6,85,Yes,6,5,72,excellent
5,89,Yes,6,7,77,review
6,42,Yes,6,6,32,review
5,61,No,8,1,49,excellent
6,58,Yes,8,7,44,review
5,74,No,5,3,57,excellent
5,51,No,9,4,34,excellent
4,93,No,9,7,76,review
3,44,No,4,4,22,excellent
3,49,No,8,4,30,excellent
,80,No,5,5,67,excellent
9,72,No,,6,71,review
2,52,Yes,7,8,29,review
9,74,Yes,8,6,74,excellent
1,90,Yes,5,5,67,review
1,71,No,7,9,46,review
5,50,Yes,4,3,34,review
6,87,No,7,9,76,excellent
6,77,No,4,1,64,review
3,63,Yes,9,8,46,review
7,74,No,9,9,68,review
9,58,No,6,4,58,excellent
8,45,Yes,6,4,41,excellent
6,79,No,7,2,64,review
8,93,Yes,6,2,84,excellent
5,84,No,8,0,70,review
8,83,No,7,4,77,excellent
4,81,Yes,5,2,60,excellent
8,74,Yes,8,1,65,excellent
2,43,Yes,7,8,21,review
5,72,No,9,9,60,excellent
9,52,No,4,5,48,excellent
4,95,Yes,6,2,77,excellent
6,75,Yes,6,6,63,review
1,93,Yes,6,8,68,review
9,82,No,7,8,81,excellent
1,58,No,8,0,29,review
5,82,Yes,4,1,66,excellent
4,51,Yes,6,7,36,review
,50,Yes,8,0,29,excellent
6,45,No,5,2,32,review
2,51,Yes,9,6,31,review
3,66,Yes,5,7,45,review
5,80,Yes,4,4,65,review
9,64,No,6,1,57,excellent
,81,No,5,2,58,excellent
8,42,Yes,,8,38,excellent
2,42,No,8,9,22,excellent
5,59,Yes,8,6,48,excellent
7,67,Yes,5,0,59,review
8,62,Yes,6,2,58,review
1,87,Yes,9,8,62,review
6,42,No,4,6,30,excellent
1,81,Yes,6,1,56,review
2,63,Yes,7,5,40,review
1,82,No,5,8,59,excellent
5,79,Yes,7,3,65,excellent
9,45,No,5,9,43,excellent
6,59,Yes,4,1,48,excellent
1,50,Yes,6,2,24,excellent
1,71,Yes,9,6,51,review
2,99,Yes,6,3,81,excellent
9,66,No,5,6,62,excellent
3,60,Yes,8,4,43,review
1,83,No,7,7,63,review
5,87,No,9,7,73,review
7,89,No,9,4,76,review
6,52,Yes,6,6,43,excellent
,61,No,6,5,34,review
5,74,No,5,7,57,review
5,86,No,8,8,72,excellent
6,61,Yes,7,4,47,excellent
3,67,Yes,8,6,52,excellent
5,60,No,9,0,49,excellent
7,85,No,8,7,77,review
5,57,Yes,5,2,41,excellent
5,70,No,8,0,56,review
5,99,No,7,5,89,review
3,85,No,9,7,65,review
1,76,Yes,4,2,49,review
5,60,No,9,0,48,excellent
,53,No,4,2,47,excellent
1,64,Yes,7,4,37,excellent
3,66,No,9,7,48,review
4,79,Yes,9,8,61,excellent
,99,Yes,9,8,77,excellent
1,99,Yes,9,3,75,review
8,62,No,5,7,57,excellent
2,70,No,6,4,45,review
8,86,No,9,2,82,review
7,99,No,5,4,90,excellent
2,68,No,7,1,42,excellent
,86,No,9,5,74,review
6,69,No,8,0,60,excellent
3,90,No,9,5,73,excellent
,65,Yes,9,4,40,excellent
1,59,No,4,8,32,review
6,77,No,8,6,67,review
,58,Yes,9,5,46,review
9,66,No,9,6,65,excellent
1,64,Yes,9,9,42,review
7,79,No,5,4,69,review
5,77,No,7,0,62,review
5,91,Yes,4,8,75,excellent
2,62,Yes,9,4,40,excellent
3,68,No,7,3,43,excellent
7,54,Yes,4,5,42,review
6,98,No,4,4,84,review
2,42,No,4,0,15,excellent
6,49,No,9,1,39,excellent
,54,No,5,3,26,excellent
2,95,No,9,7,73,excellent
2,55,No,9,4,34,excellent
3,56,Yes,7,6,34,excellent
2,58,Yes,6,1,37,excellent
4,50,Yes,6,7,34,excellent
9,87,No,6,4,85,review
6,44,Yes,7,3,31,review
1,44,No,8,8,18,excellent
8,97,Yes,7,5,92,review
7,53,No,4,3,44,excellent
3,89,No,9,7,72,review
,65,No,8,2,40,review
5,47,No,4,9,31,review
4,44,No,9,1,25,review
8,46,Yes,9,6,44,review
1,55,No,4,3,27,review
1,94,Yes,7,3,66,excellent
4,53,No,6,9,34,review
8,76,No,8,8,70,review
5,95,No,9,1,81,review
2,80,Yes,5,0,56,excellent
,43,No,9,6,30,excellent
5,75,Yes,6,7,60,excellent
2,87,No,9,2,64,review
3,95,Yes,5,1,74,review
9,56,Yes,7,3,52,excellent
7,86,Yes,9,1,84,excellent
7,75,No,8,1,66,review
6,45,No,7,4,32,review
8,55,Yes,5,9,47,review
4,68,No,4,4,51,review
8,75,No,9,7,67,excellent
4,77,No,,8,57,excellent
8,76,Yes,9,1,71,review
9,87,Yes,8,0,86,review
3,96,No,9,2,77,excellent
3,87,Yes,7,5,72,excellent
2,49,No,,4,24,excellent
3,80,No,7,7,60,review
3,75,Yes,5,7,55,excellent
5,68,Yes,7,1,54,review
5,53,No,8,8,39,review
2,43,No,7,3,19,review
,83,No,7,0,68,excellent
5,95,Yes,8,1,83,review
6,81,Yes,,5,72,excellent
1,75,No,8,4,49,review
5,89,No,5,6,74,review
9,84,Yes,8,8,86,review
2,52,No,5,5,26,review
1,85,Yes,5,5,60,review
9,57,Yes,8,1,54,review
9,72,No,7,6,73,review
9,60,No,9,1,61,review
6,55,Yes,6,6,45,excellent
8,54,No,9,7,57,review
1,93,Yes,8,0,68,excellent
4,96,Yes,7,8,72,excellent
1,44,Yes,5,7,17,review
8,45,No,4,8,37,excellent
1,77,No,6,4,54,excellent
3,42,No,9,3,22,review
4,87,Yes,7,0,73,excellent
8,51,Yes,6,8,47,excellent
6,75,Yes,4,3,63,excellent
7,72,Yes,4,3,63,excellent
8,75,No,4,3,68,review
2,72,No,9,1,52,review
8,70,No,8,3,64,excellent
3,60,Yes,6,1,38,excellent
7,66,Yes,8,7,60,excellent
3,66,No,4,6,45,excellent
,47,Yes,7,9,39,review
2,95,No,4,1,75,review
6,76,Yes,8,1,67,excellent
,71,Yes,4,1,48,excellent
3,65,Yes,4,0,44,excellent
9,41,Yes,8,5,37,excellent
7,51,Yes,8,5,41,review
5,61,No,7,0,47,excellent
7,56,No,8,0,45,excellent
9,46,No,7,5,43,excellent
1,82,Yes,5,5,54,review
7,43,No,5,3,32,review
6,76,No,8,2,64,excellent
9,77,Yes,4,8,74,review
1,71,Yes,,5,50,excellent
4,50,No,4,0,33,review
9,40,No,8,2,36,review
4,64,No,,0,45,excellent
3,81,No,4,2,58,review
9,91,No,5,1,85,excellent
2,63,Yes,9,4,41,review
,92,No,8,2,78,excellent
6,82,No,4,6,63,review
2,95,No,9,7,76,review
8,56,No,4,6,51,excellent
8,47,No,7,1,36,excellent
1,98,No,7,9,74,review
3,84,Yes,7,9,65,excellent
9,66,Yes,9,6,65,excellent
5,91,Yes,6,9,79,excellent
6,57,No,9,2,46,excellent
4,66,No,8,6,47,review
2,61,Yes,8,0,42,review
8,55,No,5,1,46,review
6,41,No,5,9,34,excellent
5,44,No,8,0,27,review
9,57,Yes,4,8,52,review
1,42,Yes,8,1,17,review
5,66,Yes,6,1,53,review
6,93,No,5,5,84,excellent
5,56,Yes,5,6,39,excellent
6,55,Yes,9,1,44,excellent
6,45,Yes,5,3,36,excellent
7,90,No,8,2,81,excellent
4,46,Yes,5,4,30,excellent
8,89,Yes,5,8,80,review
7,53,No,9,1,41,review
9,77,Yes,8,4,77,review
7,79,No,,7,69,review
3,54,No,5,5,34,excellent
3,86,Yes,5,3,64,excellent
8,86,Yes,5,9,78,review
5,87,Yes,6,7,74,excellent
4,72,No,8,2,52,excellent
8,82,Yes,5,3,76,review
6,66,Yes,6,8,53,excellent
2,68,Yes,4,4,46,excellent
4,96,No,4,5,77,excellent
4,76,No,9,1,59,excellent
6,44,No,,8,35,review
6,68,Yes,9,7,61,review
1,71,Yes,6,6,46,review
8,99,No,4,8,97,excellent
,92,Yes,9,4,86,review
3,45,Yes,7,4,24,review
9,41,No,9,8,37,excellent
2,45,No,4,4,18,excellent
8,85,No,7,8,84,excellent
3,82,Yes,6,0,59,review
5,43,Yes,7,9,29,review
6,95,Yes,4,9,84,review
6,68,No,5,7,60,excellent
4,98,No,7,2,78,review
3,64,Yes,4,7,46,excellent
4,48,No,,4,31,excellent
1,95,No,5,1,68,review
4,42,Yes,6,8,25,review
1,65,No,6,3,37,excellent
1,87,Yes,8,6,62,excellent
6,82,No,6,7,69,excellent
5,66,Yes,8,6,50,review
4,75,No,6,5,55,review
3,71,Yes,6,6,54,excellent
1,40,No,6,3,12,excellent
6,96,No,8,9,88,review
2,92,No,9,0,69,excellent
8,93,No,,4,88,excellent
5,55,No,7,7,41,review
7,90,Yes,4,9,83,excellent
2,87,Yes,4,5,62,review
8,50,Yes,9,4,45,excellent
2,65,No,4,1,42,excellent
4,79,Yes,6,9,65,review
,94,No,9,4,73,excellent
5,40,No,4,9,23,excellent
9,65,Yes,8,2,61,excellent
1,67,Yes,7,1,41,review
9,92,No,5,2,85,excellent
8,97,No,7,3,93,excellent
6,48,Yes,4,1,35,excellent
7,99,Yes,9,3,92,excellent
3,98,No,4,3,79,review
1,83,No,8,5,57,review
5,61,Yes,7,4,49,excellent
2,47,No,8,6,28,review
5,97,No,8,6,85,excellent
8,88,Yes,5,2,82,excellent
9,81,Yes,8,8,80,review
2,66,No,8,6,41,excellent
3,78,No,5,6,57,review
3,58,Yes,6,1,41,excellent
1,64,No,6,9,43,review
8,77,Yes,9,2,73,review
6,60,No,5,2,46,review
8,63,Yes,9,5,61,excellent
9,63,No,9,3,61,review
5,99,No,8,3,87,review
,99,No,9,0,78,review
5,58,Yes,4,5,43,review
5,89,Yes,7,7,75,excellent
,86,Yes,4,7,72,review
3,41,No,4,7,18,excellent
4,53,No,8,4,36,excellent
9,92,Yes,7,9,92,excellent
9,71,Yes,9,5,71,review
2,81,No,,4,58,excellent
8,71,No,9,3,69,review
8,67,No,6,3,58,excellent
7,87,No,5,3,74,excellent
8,78,Yes,8,3,72,excellent
3,79,Yes,9,5,61,excellent
6,81,No,9,5,74,excellent
1,86,No,7,4,60,excellent
7,79,No,8,8,70,review
1,52,Yes,9,7,27,review
9,51,Yes,6,9,49,review
1,47,No,4,5,17,review
1,54,No,9,8,34,excellent
7,65,No,7,4,51,excellent
,51,No,6,9,27,review
5,82,No,8,3,67,excellent
8,90,No,9,5,84,review
8,85,Yes,6,3,81,excellent
3,66,Yes,6,7,45,excellent
7,57,Yes,6,6,50,excellent
,84,No,6,4,67,excellent
6,75,No,6,9,67,review
6,88,No,6,5,77,excellent
3,90,Yes,5,6,70,review
,66,No,8,1,59,review
3,48,Yes,4,8,27,excellent
8,94,No,8,6,88,review
4,78,No,7,7,60,excellent
1,40,No,7,4,14,excellent
4,46,Yes,8,2,27,review
,65,Yes,6,1,54,excellent
4,46,Yes,5,1,32,review
6,91,No,4,2,79,excellent
,46,Yes,9,0,44,excellent
1,47,No,9,0,20,review
5,55,No,6,6,42,review
7,42,Yes,8,9,33,review
1,84,Yes,9,7,58,excellent
4,49,No,8,5,31,review
6,89,No,5,6,75,review
2,46,No,,0,22,excellent
5,60,No,8,0,46,excellent
1,92,Yes,6,8,68,excellent
6,76,Yes,6,4,66,excellent
6,70,Yes,6,6,60,excellent
4,62,No,9,5,44,excellent
8,96,No,4,3,90,review
4,66,No,4,0,47,excellent
,95,Yes,6,3,88,review
8,61,No,8,9,56,review
